RiskDecile,ActualPurePremium,PredictedPurePremium,Policies
1,526.7174874374432,193.54642717586003,13561
2,262.2144045598315,199.68596010811785,13560
3,211.9099250878714,201.68210000426737,13560
4,127.00139209719111,205.27697979980744,13560
5,267.3805611158611,215.67149836778444,13561
6,374.5147651547827,222.09926134707996,13560
7,384.2706732743412,226.05327423742287,13560
8,339.81204628841596,229.9748865544109,13560
9,331.48959264491424,286.2250428826464,13560
10,1370.513618137024,777.4447555095604,13561
